Treatment,day,Rec_day_adj,KO,meanRelAbun,kcat.mod,ksys.mod,kfam.mod
RC-ABX,D4,-13,K00841,7.24E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,-13,K00872,6.48E-05,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
RC-ABX,D4,-13,K01760,2.58E-05,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D4,-13,K05822,4.44E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,-13,K05823,5.13E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,-13,K08234,6.29E-05,Amino acid metabolism,Metabolism,Amino acid metabolism
RC-ABX,D4,-3,K00547,0.000111292,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D4,-3,K00841,0.000147868,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,-3,K00872,0.000140313,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
RC-ABX,D4,-3,K01760,0.000121735,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D4,-3,K05822,0.000117514,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,-3,K05823,0.000107355,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,-3,K08234,0.00012606,Amino acid metabolism,Metabolism,Amino acid metabolism
RC-ABX,D4,2,K00547,5.31E-08,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D4,2,K00841,0.000190945,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,2,K00872,0.000516777,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
RC-ABX,D4,2,K01760,7.38E-06,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D4,2,K05822,0.000583414,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,2,K05823,8.43E-06,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,2,K08234,7.66E-05,Amino acid metabolism,Metabolism,Amino acid metabolism
RC-ABX,D4,4,K00547,0.000662856,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D4,4,K00841,0.000622213,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,4,K00872,0.000774612,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
RC-ABX,D4,4,K01760,0.000712529,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D4,4,K05822,0.000553193,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,4,K05823,0.000626581,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,4,K08234,0.000809081,Amino acid metabolism,Metabolism,Amino acid metabolism
RC-ABX,D4,14,K00547,9.38E-05,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D4,14,K00841,0.000246976,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,14,K00872,0.000232596,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
RC-ABX,D4,14,K01760,9.63E-05,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D4,14,K05822,0.000101865,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,14,K05823,0.000103811,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,14,K08234,7.82E-05,Amino acid metabolism,Metabolism,Amino acid metabolism
RC-ABX,D4,28,K00547,0.000104554,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D4,28,K00841,0.00018475,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,28,K00872,0.000165039,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
RC-ABX,D4,28,K01760,0.000102524,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
RC-ABX,D4,28,K05822,0.000122259,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,28,K05823,0.000110114,Lysine biosynthesis ,Metabolism,Amino acid metabolism
RC-ABX,D4,28,K08234,0.000104513,Amino acid metabolism,Metabolism,Amino acid metabolism
WD-ABX,D2,-13,K00020,1.62E-05,"Valine, leucine and isoleucine degradation ",Metabolism,Amino acid metabolism
WD-ABX,D2,-13,K00549,0.000192183,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D2,-13,K00841,6.13E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,-13,K01758,0,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D2,-13,K01760,1.26E-05,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D2,-13,K05823,4.14E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,-13,K08234,3.81E-05,Amino acid metabolism,Metabolism,Amino acid metabolism
WD-ABX,D2,-13,K14260,3.94E-05,Arginine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,-13,K22457,0,"Alanine, aspartate and glutamate metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D2,-3,K00020,0.000131374,"Valine, leucine and isoleucine degradation ",Metabolism,Amino acid metabolism
WD-ABX,D2,-3,K00549,0.000235463,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D2,-3,K00841,0.000128357,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,-3,K01758,5.39E-05,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D2,-3,K01760,7.79E-05,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D2,-3,K05823,8.49E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,-3,K08234,8.96E-05,Amino acid metabolism,Metabolism,Amino acid metabolism
WD-ABX,D2,-3,K14260,0.00010377,Arginine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,-3,K22457,5.31E-05,"Alanine, aspartate and glutamate metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D2,2,K00020,0.000863794,"Valine, leucine and isoleucine degradation ",Metabolism,Amino acid metabolism
WD-ABX,D2,2,K00549,0.001129949,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D2,2,K00841,0.000851205,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,2,K01758,0.000592873,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D2,2,K01760,0.00059653,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D2,2,K05823,0.000792763,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,2,K08234,0.000745452,Amino acid metabolism,Metabolism,Amino acid metabolism
WD-ABX,D2,2,K14260,0.000845211,Arginine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,2,K22457,0.000665657,"Alanine, aspartate and glutamate metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D2,14,K00020,0.000697526,"Valine, leucine and isoleucine degradation ",Metabolism,Amino acid metabolism
WD-ABX,D2,14,K00549,0.000848382,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D2,14,K00841,0.000667246,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,14,K01758,0.000577298,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D2,14,K01760,0.000591305,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D2,14,K05823,0.00066352,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,14,K08234,0.000624243,Amino acid metabolism,Metabolism,Amino acid metabolism
WD-ABX,D2,14,K14260,0.000668212,Arginine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,14,K22457,0.000600401,"Alanine, aspartate and glutamate metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D2,28,K00020,0.000344562,"Valine, leucine and isoleucine degradation ",Metabolism,Amino acid metabolism
WD-ABX,D2,28,K00549,0.000620272,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D2,28,K00841,0.000309348,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,28,K01758,0.000279892,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D2,28,K01760,0.000284418,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D2,28,K05823,0.00031873,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,28,K08234,0.000292277,Amino acid metabolism,Metabolism,Amino acid metabolism
WD-ABX,D2,28,K14260,0.000334782,Arginine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D2,28,K22457,0.000283761,"Alanine, aspartate and glutamate metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D14,-13,K00841,6.13E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,-13,K01439,9.20E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,-13,K01758,0,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D14,-13,K01760,1.26E-05,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D14,-13,K05823,4.14E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,-13,K14260,3.94E-05,Arginine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,-13,K22457,0,"Alanine, aspartate and glutamate metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D14,-3,K00841,0.000128357,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,-3,K01439,8.85E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,-3,K01758,5.39E-05,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D14,-3,K01760,7.79E-05,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D14,-3,K05823,8.49E-05,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,-3,K14260,0.00010377,Arginine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,-3,K22457,5.31E-05,"Alanine, aspartate and glutamate metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D14,2,K00841,0.000851205,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,2,K01439,2.79E-07,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,2,K01758,0.000592873,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D14,2,K01760,0.00059653,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D14,2,K05823,0.000792763,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,2,K14260,0.000845211,Arginine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,2,K22457,0.000665657,"Alanine, aspartate and glutamate metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D14,14,K00841,0.000667246,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,14,K01439,0.000475691,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,14,K01758,0.000577298,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D14,14,K01760,0.000591305,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D14,14,K05823,0.00066352,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,14,K14260,0.000668212,Arginine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,14,K22457,0.000600401,"Alanine, aspartate and glutamate metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D14,28,K00841,0.000309348,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,28,K01439,0.000328772,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,28,K01758,0.000279892,"Glycine, serine and threonine metabolism ",Metabolism,Amino acid metabolism
WD-ABX,D14,28,K01760,0.000284418,Cysteine and methionine metabolism ,Metabolism,Amino acid metabolism
WD-ABX,D14,28,K05823,0.00031873,Lysine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,28,K14260,0.000334782,Arginine biosynthesis ,Metabolism,Amino acid metabolism
WD-ABX,D14,28,K22457,0.000283761,"Alanine, aspartate and glutamate metabolism ",Metabolism,Amino acid metabolism
RC-ABX,D4,-13,K19784,0.000185306,Secondary metabolism,Metabolism,Biosynthesis of other secondary metabolites
RC-ABX,D4,-3,K19784,0.000453853,Secondary metabolism,Metabolism,Biosynthesis of other secondary metabolites
RC-ABX,D4,2,K19784,8.87E-05,Secondary metabolism,Metabolism,Biosynthesis of other secondary metabolites
RC-ABX,D4,4,K19784,0.002265119,Secondary metabolism,Metabolism,Biosynthesis of other secondary metabolites
RC-ABX,D4,14,K19784,0.000485064,Secondary metabolism,Metabolism,Biosynthesis of other secondary metabolites
RC-ABX,D4,28,K19784,0.000402722,Secondary metabolism,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D2,-13,K24041,2.69E-05,Penicillin and cephalosporin biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D2,-3,K24041,7.90E-05,Penicillin and cephalosporin biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D2,2,K24041,0.000680975,Penicillin and cephalosporin biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D2,14,K24041,0.000385057,Penicillin and cephalosporin biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D2,28,K24041,0.000164619,Penicillin and cephalosporin biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D14,-13,K06998,2.29E-05,Phenazine biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D14,-13,K19784,0.000183933,Secondary metabolism,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D14,-3,K06998,3.64E-05,Phenazine biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D14,-3,K19784,0.000350634,Secondary metabolism,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D14,2,K06998,0,Phenazine biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D14,2,K19784,0.000737314,Secondary metabolism,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D14,14,K06998,0.000437212,Phenazine biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D14,14,K19784,0.001200781,Secondary metabolism,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D14,28,K06998,0.000446268,Phenazine biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D14,28,K19784,0.000572936,Secondary metabolism,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D28,-13,K06998,2.29E-05,Phenazine biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D28,-3,K06998,3.64E-05,Phenazine biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D28,2,K06998,0,Phenazine biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D28,14,K06998,0.000437212,Phenazine biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
WD-ABX,D28,28,K06998,0.000446268,Phenazine biosynthesis ,Metabolism,Biosynthesis of other secondary metabolites
RC-ABX,D2,-13,K00009,8.46E-05,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K00626,0.000254391,Pyruvate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K00627,2.01E-05,Glycolysis / Gluconeogenesis ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K01232,5.05E-05,Starch and sucrose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K01635,4.50E-05,Galactose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K01641,5.45E-05,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K01679,6.77E-05,Citrate cycle (TCA cycle) ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K02160,0.000125579,Pyruvate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K02750,1.54E-05,Starch and sucrose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K02768,0.000120339,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K02770,0.000111463,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K02800,0.000148291,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K02822,9.01E-05,Ascorbate and aldarate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K03366,2.90E-05,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K03475,8.21E-05,Ascorbate and aldarate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K08094,0.000135721,Pentose phosphate pathway ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-13,K18369,0.000169099,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K00009,0.000114384,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K00626,0.00020865,Pyruvate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K00627,0.000105137,Glycolysis / Gluconeogenesis ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K01232,0.000105873,Starch and sucrose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K01635,0.000118953,Galactose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K01641,0.000123214,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K01679,8.81E-05,Citrate cycle (TCA cycle) ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K02160,0.000179234,Pyruvate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K02750,9.64E-05,Starch and sucrose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K02768,0.000243594,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K02770,0.00023673,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K02800,0.000166068,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K02822,0.000105568,Ascorbate and aldarate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K03366,0.000109109,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K03475,0.000112039,Ascorbate and aldarate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K08094,6.77E-05,Pentose phosphate pathway ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,-3,K18369,0.000220071,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K00009,0.00016824,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K00626,0.001598022,Pyruvate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K00627,0.000605905,Glycolysis / Gluconeogenesis ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K01232,0.000285621,Starch and sucrose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K01635,0.000461071,Galactose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K01641,0.000164642,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K01679,0.000569947,Citrate cycle (TCA cycle) ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K02160,0.001036733,Pyruvate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K02750,0.000311205,Starch and sucrose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K02768,0.000296738,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K02770,0.000556903,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K02800,0.000333068,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K02822,0.000250947,Ascorbate and aldarate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K03366,0.000415991,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K03475,0.000296683,Ascorbate and aldarate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K08094,0.000293058,Pentose phosphate pathway ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,2,K18369,0.000607328,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K00009,0.000779097,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K00626,6.87E-05,Pyruvate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K00627,0.000764796,Glycolysis / Gluconeogenesis ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K01232,0.000764417,Starch and sucrose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K01635,0.000833483,Galactose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K01641,0.000620823,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K01679,8.43E-06,Citrate cycle (TCA cycle) ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K02160,0.000696455,Pyruvate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K02750,0.000728391,Starch and sucrose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K02768,0.000944715,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K02770,0.00092378,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K02800,0.000888392,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K02822,0.000957691,Ascorbate and aldarate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K03366,0.000755239,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K03475,0.001007067,Ascorbate and aldarate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K08094,2.16E-06,Pentose phosphate pathway ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,4,K18369,4.56E-06,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K00009,6.13E-05,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K00626,0.000332367,Pyruvate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K00627,8.54E-05,Glycolysis / Gluconeogenesis ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K01232,5.26E-05,Starch and sucrose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K01635,6.41E-05,Galactose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K01641,0.000111387,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K01679,0.000202528,Citrate cycle (TCA cycle) ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K02160,0.000135257,Pyruvate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K02750,3.39E-05,Starch and sucrose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K02768,0.000245383,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K02770,0.000164613,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K02800,0.000197801,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K02822,0.00014735,Ascorbate and aldarate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K03366,0.000100723,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K03475,0.000145267,Ascorbate and aldarate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K08094,0.000205432,Pentose phosphate pathway ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,14,K18369,0.000104465,Butanoate metabolism ,Metabolism,Carbohydrate metabolism
RC-ABX,D2,28,K00009,0.000148279,Fructose and mannose metabolism ,Metabolism,Carbohydrate metabolism
