KEGG.system,ksys.mod,KEGG.family,kfam.mod,KEGG.category,kcat.mod,KO,Desc
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K02791,malX; maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K03737,"por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K03841,"FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K04041,"fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K04072,adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K06859,"pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K11645,"fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K12957,ahr; alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K13953,"adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K13954,yiaY; alcohol dehydrogenase [EC:1.1.1.1]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K13979,yahK; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K15633,"gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K15634,"gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K15635,"apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K15778,pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K16306,"K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K20118,"ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K20866,yihX; glucose-1-phosphatase [EC:3.1.3.10]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K21071,"pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010],Glycolysis / Gluconeogenesis ,K24012,acdAB; acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00024,mdh; malate dehydrogenase [EC:1.1.1.37]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00030,IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00031,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00116,mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00161,"PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00162,"PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00163,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00164,"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00169,porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00170,porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00171,porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00172,"porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00174,"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00175,"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00176,"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00177,"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00239,"sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00240,"sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00241,"sdhC, frdC; succinate dehydrogenase cytochrome b subunit"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00242,"sdhD, frdD; succinate dehydrogenase membrane anchor subunit"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00244,frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00245,frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00246,frdC; succinate dehydrogenase subunit C
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00382,"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00627,"DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K00658,"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K01596,"E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K01610,"E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K01647,"CS, gltA; citrate synthase [EC:2.3.3.1]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K01676,"E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K01677,"E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K01678,"E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K01679,"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]"
09100 Metabolism,Metabolism,09101 Carbohydrate metabolism,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020],Citrate cycle (TCA cycle) ,K01681,"ACO, acnA; aconitate hydratase [EC:4.2.1.3]"
